Image,Plate,YOLO Confidence,OCR Confidence
car10.jpg,K34,0.734127402305603,0.5792260766029358
car10.jpg,KEX,0.734127402305603,0.8814241290092468
car3.jpg,F463MFG,0.8317538499832153,0.785110078591619
car4.jpg,DB5./964,0.6953439116477966,0.6501017232681174
car2.jpg,LR33 TEE,0.8210542798042297,0.9116070911748606
car7.jpg,0GgeW5,0.4393436014652252,0.07646220049742126
car1.jpg,SN66 XMZ,0.810124397277832,0.89628546925208
car8.jpg,SN66 XMZ,0.7652720808982849,0.6579367727788572
car6.jpg,AY02 DOY,0.8479419350624084,0.6517134380297538
car5.jpg,SDE 496H,0.6318797469139099,0.958390861022286
car9.jpg,SJR 603,0.6306495070457458,0.7975167638655595
